# timestamp, x, y, z, qx, qy, qz, qw
2750000000.000000, 1.838895, 4.644140, 0.000000, 0.132508, 0.694580, 0.694580, 0.132508
2800000000.000000, 2.125259, 4.516933, 0.000000, 0.154235, 0.690081, 0.690081, 0.154235
2850000000.000000, 2.405860, 4.376092, 0.000000, 0.175855, 0.684890, 0.684890, 0.175855
2900000000.000000, 2.674575, 4.214944, -0.000000, 0.197259, 0.679035, 0.679035, 0.197259
2950000000.000000, 2.934741, 4.039193, 0.000000, 0.218513, 0.672497, 0.672497, 0.218513
3000000000.000000, 3.181734, 3.846399, 0.000000, 0.239509, 0.665308, 0.665308, 0.239509
3050000000.000000, 3.417403, 3.638954, -0.000000, 0.260313, 0.657447, 0.657447, 0.260313
3100000000.000000, 3.638961, 3.417395, 0.000000, 0.280817, 0.648954, 0.648954, 0.280817
3150000000.000000, 3.846406, 3.181727, -0.000000, 0.301086, 0.639802, 0.639802, 0.301086
3200000000.000000, 4.039199, 2.934731, -0.000000, 0.321016, 0.630039, 0.630039, 0.321016
3250000000.000000, 4.214951, 2.674565, 0.000000, 0.340668, 0.619633, 0.619633, 0.340668
3300000000.000000, 4.376097, 2.405851, 0.000000, 0.359943, 0.608639, 0.608639, 0.359943
3350000000.000000, 4.516937, 2.125251, -0.000000, 0.378901, 0.597021, 0.597021, 0.378901
3400000000.000000, 4.644143, 1.838885, 0.000000, 0.397445, 0.584839, 0.584839, 0.397445
3450000000.000000, 4.747191, 1.542315, 0.000000, 0.415635, 0.572056, 0.572056, 0.415635
3500000000.000000, 4.838975, 1.242650, 0.000000, 0.433379, 0.558733, 0.558733, 0.433379
3550000000.000000, 4.901856, 0.935046, 0.000000, 0.450729, 0.544834, 0.544834, 0.450729
3600000000.000000, 4.957827, 0.626507, -0.000000, 0.467608, 0.530417, 0.530417, 0.467608
3650000000.000000, 4.978914, 0.313252, 0.000000, 0.484048, 0.515459, 0.515459, 0.484048
3700000000.000000, 5.000000, -0.000002, 0.000000, 0.500000, 0.500000, 0.500000, 0.500000
3750000000.000000, 4.978913, -0.313259, 0.000000, 0.515459, 0.484047, 0.484047, 0.515459
3800000000.000000, 4.957827, -0.626514, 0.000000, 0.530418, 0.467608, 0.467608, 0.530418
3850000000.000000, 4.901855, -0.935050, 0.000000, 0.544834, 0.450728, 0.450728, 0.544834
3900000000.000000, 4.838974, -1.242655, 0.000000, 0.558733, 0.433379, 0.433379, 0.558733
3950000000.000000, 4.747190, -1.542321, -0.000000, 0.572056, 0.415634, 0.415634, 0.572056
4000000000.000000, 4.644142, -1.838892, 0.000000, 0.584840, 0.397445, 0.397445, 0.584840
4050000000.000000, 4.516935, -2.125254, 0.000000, 0.597021, 0.378901, 0.378901, 0.597021
